Data,pcr-positivo,pcr-negativo,pcr-positivo-0a4,pcr-positivo-5a9,pcr-positivo-10a14,pcr-positivo-15a19,pcr-positivo-20a29,pcr-positivo-30a39,pcr-positivo-40a49,pcr-positivo-50a59,pcr-positivo-60a69,pcr-positivo-70a79,pcr-positivo-80a999,obitos,DT_NOTIFIC_x,pcr_negativo,pcr_positivo,pcr_total,srag_pcr-positivo-5a9,srag_pcr-positivo-0a4,srag_pcr-positivo-10a14,srag_pcr-positivo-15a19,srag_pcr-positivo-20a29,srag_pcr-positivo-30a39,srag_pcr-positivo-40a49,srag_pcr-positivo-50a59,srag_pcr-positivo-60a69,srag_pcr-positivo-70a79,srag_pcr-positivo-80a999,srag_obito,DT_NOTIFIC_y,pcr2_negativo,pcr2_positivo,pcr2_total,srag2_pcr-positivo-5a9,srag2_pcr-positivo-0a4,srag2_pcr-positivo-10a14,srag2_pcr-positivo-15a19,srag2_pcr-positivo-20a29,srag2_pcr-positivo-30a39,srag2_pcr-positivo-40a49,srag2_pcr-positivo-50a59,srag2_pcr-positivo-60a69,srag2_pcr-positivo-70a79,srag2_pcr-positivo-80a999,srag2_obito,pcr-positivo-final,pcr-negativo-final,obito-final,pcr-positivo-0a4-final,pcr-positivo-5a9-final,pcr-positivo-10a14-final,pcr-positivo-15a19-final,pcr-positivo-20a29-final,pcr-positivo-30a39-final,pcr-positivo-40a49-final,pcr-positivo-50a59-final,pcr-positivo-60a69-final,pcr-positivo-70a79-final,pcr-positivo-80a999-final
2020-01-25,5,5,0,0,0,0,0,3,1,0,0,0,1,0,2020-01-25,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
2020-01-26,6,9,0,0,0,0,1,2,1,1,1,0,0,0,2020-01-26,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
2020-01-27,1,5,0,0,0,0,0,0,0,0,0,1,0,1,2020-01-27,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-28,6,9,0,0,1,0,1,1,0,1,0,1,1,0,2020-01-28,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,71.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
2020-01-29,3,6,0,0,0,0,1,1,1,0,0,0,0,0,2020-01-29,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30,7,6,0,0,0,0,1,1,3,0,1,1,0,0,2020-01-30,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-01-31,4,3,0,0,0,0,2,0,0,1,1,0,0,0,2020-01-31,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-02-01,5,10,1,0,0,0,0,2,1,0,1,0,0,0,2020-02-01,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
2020-02-02,9,8,0,0,0,0,2,1,3,1,0,2,0,0,2020-02-02,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0
2020-02-03,5,30,0,0,0,1,1,0,0,2,1,0,0,0,2020-02-03,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,104.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-04,4,7,0,0,0,0,1,1,2,0,0,0,0,1,2020-02-04,54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-02-05,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2020-02-05,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,63.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-06,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2020-02-06,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
